code,chapter,title,jsonVerse,txtVerse,araVerse,recommendedVerse,verdict,source,url
GEN,11,"Descendentes de Sem",10,1,13,10,json_ok,confirmado_utilizador,https://www.bibliaonline.com.br/ara/gn/11
GEN,25,"Descendentes de Ismael",12,1,1,12,json_ok,confirmado_utilizador,https://www.bibliaonline.com.br/ara/gn/25
GEN,31,"Labão segue no encalço de Jacó",22,24,31,22,json_ok,bibliaonline_ara,https://www.bibliaonline.com.br/ara/gn/31
GEN,32,"Jacó reconcilia-se com Esaú",4,3,1,3,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/gn/32
GEN,35,"Descendentes de Jacó",23,1,7,23,json_ok,confirmado_utilizador,https://www.bibliaonline.com.br/ara/gn/35
GEN,36,"Descendentes de Seir",20,1,22,20,json_ok,confirmado_utilizador,https://www.bibliaonline.com.br/ara/gn/36
GEN,36,"Reis e príncipes de Edom",31,1,19,31,json_ok,confirmado_utilizador,https://www.bibliaonline.com.br/ara/gn/36
GEN,50,"A morte de José",22,23,9,22,json_ok,bibliaonline_ara,https://www.bibliaonline.com.br/ara/gn/50
EXO,8,"Segunda praga: rãs",26,1,28,1,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/8
EXO,8,"Terceira praga: piolhos",12,16,24,16,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/8
EXO,8,"Quarta praga: moscas",16,20,37,20,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/8
EXO,22,"Leis acerca da propriedade",37,1,1,1,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/22
EXO,22,"Leis civis e religiosas",15,16,9,16,fix_needed,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/22
EXO,28,"As vestes sacerdotais",3,2,8,3,json_ok,bibliaonline_ara,https://www.bibliaonline.com.br/ara/ex/28
LEV,6,"O sacrifício pelos pecados voluntários",20,1,30,30,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/lv/6
LEV,6,"A lei do holocausto",1,8,12,12,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/lv/6
LEV,6,"A lei da oferta de manjares",7,14,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/lv/6
LEV,6,"A oferta na consagração dos sacerdotes",12,19,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/lv/6
LEV,6,"A lei da oferta pelo pecado",17,24,17,17,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/lv/6
NUM,16,"Novo tumulto e seu castigo",6,41,22,22,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/nm/16
NUM,17,"O bordão de Arão floresce",16,1,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/nm/17
NUM,30,"Acerca de votos",2,1,21,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/nm/30
DEU,13,"Contra os falsos profetas e os idólatras",2,1,,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/dt/13
DEU,23,"Pessoas excluídas das assembleias santas",2,1,58,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/dt/23
DEU,23,"Limpeza do acampamento",10,9,77,9,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/dt/23
DEU,23,"""Acerca de fugitivos, prostitutas e usura""",16,15,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/dt/23
DEU,23,"Acerca de votos",22,21,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/dt/23
DEU,29,"Deus faz nova aliança com o povo",69,1,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/dt/29
1SA,18,"O cântico das mulheres indigna a Saul",6,7,48,7,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1sa/18
1SA,21,"Davi vai ter com o sacerdote Aimeleque",2,1,11,11,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1sa/21
1SA,21,"""Davi foge para Aquis, rei de Gate""",11,10,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1sa/21
1SA,24,"Davi poupa a vida de Saul",2,1,20,20,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1sa/24
1SA,31,"A sepultura de Saul",8,1,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1sa/31
2SA,3,"A família de Davi em Hebrom",2,1,2,2,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2sa/3
2SA,5,"Davi conquista Sião",6,1,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/5
2SA,5,"O reinado de Davi reconhecido por Hirão",11,1,35,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2sa/5
2SA,5,"Os filhos de Davi que nasceram em Jerusalém",13,1,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/5
2SA,5,"Davi derrota os filisteus",17,1,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/5
2SA,6,"A arca é levada para Jerusalém",12,1,21,21,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/6
2SA,7,"Ações de graças de Davi",18,1,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/7
2SA,8,"Oficiais de Davi",15,2,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/8
2SA,12,"A morte do filho de Bate-Seba",15,16,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/12
2SA,12,"Davi conquista Rabá",26,1,20,20,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/12
2SA,19,"Joabe reprova a Davi",2,1,18,18,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/19
2SA,19,"Davi volta para Jerusalém",12,11,12,12,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2sa/19
2SA,19,"Simei encontra-se com Davi",17,16,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/19
2SA,19,"Mefibosete encontra-se com Davi",25,24,9,9,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/19
2SA,19,"Barzilai encontra-se com Davi",32,31,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/19
2SA,20,"Oficiais de Davi",23,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/20
2SA,21,"Gigantes mortos pelos homens de Davi",15,1,30,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2sa/21
2SA,23,"Os valentes de Davi",8,1,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/23
2SA,24,"Davi escolhe o castigo",10,1,7,7,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2sa/24
2SA,24,"Davi erige um altar na eira de Araúna",18,1,30,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2sa/24
1KI,3,"Salomão pede a Deus sabedoria",3,2,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/3
1KI,4,"A sabedoria de Salomão",9,29,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/4
1KI,5,"Salomão faz aliança com Hirão",15,2,22,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ki/5
1KI,5,"Os preparativos para edificar o templo",27,2,24,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/1ki/5
1KI,6,"Salomão edifica o templo",1,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/6
1KI,6,"Os dois querubins",23,2,20,20,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/6
1KI,7,"As duas colunas do templo",15,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"O mar de fundição",23,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"Outros utensílios para o templo",27,2,26,26,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,7,"As dádivas de Davi colocadas no templo",51,2,12,12,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/7
1KI,8,"Salomão traz para o templo a arca",1,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,8,"Salomão fala ao povo",12,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
1KI,8,"Salomão ora a Deus",22,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/1ki/8
