code,chapter,title,jsonVerse,txtVerse,onlineVerse,verdict,note
GEN,11,"Descendentes de Sem,3291,""titulo igual no mesmo capitulo",10,1,,review,"título não encontrado na página ARA"
GEN,25,"Descendentes de Ismael,7682,""titulo igual no mesmo capitulo",12,1,,review,"título não encontrado na página ARA"
GEN,31,"Labão segue no encalço de Jacó,10237,""titulo igual no mesmo capitulo",22,24,,review,"título não encontrado na página ARA"
GEN,32,"Jacó reconcilia-se com Esaú,10645,""titulo igual no mesmo capitulo",4,3,,review,"título não encontrado na página ARA"
GEN,35,"Descendentes de Jacó,11875,""titulo igual no mesmo capitulo",23,1,,review,"título não encontrado na página ARA"
GEN,36,"Descendentes de Seir,12136,""titulo igual no mesmo capitulo",20,1,,review,"título não encontrado na página ARA"
GEN,36,"Reis e príncipes de Edom,12253,""titulo igual no mesmo capitulo",31,1,,review,"título não encontrado na página ARA"
GEN,50,"A morte de José,17569,""titulo igual no mesmo capitulo",22,23,,review,"título não encontrado na página ARA"
EXO,8,"Segunda praga: rãs,19730,""titulo igual no mesmo capitulo",26,1,,review,"título não encontrado na página ARA"
EXO,8,"Terceira praga: piolhos,19897,""titulo igual no mesmo capitulo",12,16,,review,"título não encontrado na página ARA"
EXO,8,"Quarta praga: moscas,19964,""titulo igual no mesmo capitulo",16,20,,review,"título não encontrado na página ARA"
EXO,22,"Leis acerca da propriedade,24578,""titulo igual no mesmo capitulo",37,1,,review,"título não encontrado na página ARA"
EXO,22,"Leis civis e religiosas,24789,""titulo igual no mesmo capitulo",15,16,,review,"título não encontrado na página ARA"
EXO,28,"As vestes sacerdotais,26767,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
LEV,6,"O sacrifício pelos pecados voluntários,33603,""titulo igual no mesmo capitulo",20,1,,review,"título não encontrado na página ARA"
LEV,6,"A lei do holocausto,33679,""titulo igual no mesmo capitulo",1,8,,review,"título não encontrado na página ARA"
LEV,6,"A lei da oferta de manjares,33766,""titulo igual no mesmo capitulo",7,14,,review,"título não encontrado na página ARA"
LEV,6,"A oferta na consagração dos sacerdotes,33826,""titulo igual no mesmo capitulo",12,19,,review,"título não encontrado na página ARA"
LEV,6,"A lei da oferta pelo pecado,33882,""titulo igual no mesmo capitulo",17,24,,review,"título não encontrado na página ARA"
NUM,16,"Novo tumulto e seu castigo,50190,""titulo igual no mesmo capitulo",6,41,,review,"título não encontrado na página ARA"
NUM,17,"O bordão de Arão floresce,50323,""titulo igual no mesmo capitulo",16,1,,review,"título não encontrado na página ARA"
NUM,30,"Acerca de votos,55150,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
DEU,13,"Contra os falsos profetas e os idólatras,62970,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
DEU,23,"Pessoas excluídas das assembleias santas,66018,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
DEU,23,"Limpeza do acampamento,66125,""titulo igual no mesmo capitulo",10,9,,review,"título não encontrado na página ARA"
DEU,23,"Acerca de fugitivos, prostitutas e usura"",66191,""titulo igual no mesmo capitulo",16,15,,review,"título não encontrado na página ARA"
DEU,23,"Acerca de votos,66247,""titulo igual no mesmo capitulo",22,21,,review,"título não encontrado na página ARA"
DEU,29,"Deus faz nova aliança com o povo,68351,""titulo igual no mesmo capitulo",69,1,,review,"título não encontrado na página ARA"
1SA,18,"O cântico das mulheres indigna a Saul,92960,""titulo igual no mesmo capitulo",6,7,,review,"título não encontrado na página ARA"
1SA,21,"Davi vai ter com o sacerdote Aimeleque,94113,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
1SA,21,"Davi foge para Aquis, rei de Gate"",94239,""titulo igual no mesmo capitulo",11,10,,review,"título não encontrado na página ARA"
1SA,24,"Davi poupa a vida de Saul,95012,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
1SA,31,"A sepultura de Saul,97462,""titulo igual no mesmo capitulo",8,1,,review,"título não encontrado na página ARA"
2SA,3,"A família de Davi em Hebrom,98320,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
2SA,5,"Davi conquista Sião,99058,""titulo igual no mesmo capitulo",6,1,,review,"título não encontrado na página ARA"
2SA,5,"O reinado de Davi reconhecido por Hirão,99141,""titulo igual no mesmo capitulo",11,1,,review,"título não encontrado na página ARA"
2SA,5,"Os filhos de Davi que nasceram em Jerusalém,99173,""titulo igual no mesmo capitulo",13,1,,review,"título não encontrado na página ARA"
2SA,5,"Davi derrota os filisteus,99203,""titulo igual no mesmo capitulo",17,1,,review,"título não encontrado na página ARA"
2SA,6,"A arca é levada para Jerusalém,99467,""titulo igual no mesmo capitulo",12,1,,review,"título não encontrado na página ARA"
2SA,7,"Ações de graças de Davi,99843,""titulo igual no mesmo capitulo",18,1,,review,"título não encontrado na página ARA"
2SA,8,"Oficiais de Davi,100185,""titulo igual no mesmo capitulo",15,2,,review,"título não encontrado na página ARA"
2SA,12,"A morte do filho de Bate-Seba,101195,""titulo igual no mesmo capitulo",15,16,,review,"título não encontrado na página ARA"
2SA,12,"Davi conquista Rabá,101350,""titulo igual no mesmo capitulo",26,1,,review,"título não encontrado na página ARA"
2SA,19,"Joabe reprova a Davi,103974,""titulo igual no mesmo capitulo",2,1,,review,"título não encontrado na página ARA"
2SA,19,"Davi volta para Jerusalém,104139,""titulo igual no mesmo capitulo",12,11,,review,"título não encontrado na página ARA"
2SA,19,"Simei encontra-se com Davi,104199,""titulo igual no mesmo capitulo",17,16,,review,"título não encontrado na página ARA"
2SA,19,"Mefibosete encontra-se com Davi,104322,""titulo igual no mesmo capitulo",25,24,,review,"título não encontrado na página ARA"
2SA,19,"Barzilai encontra-se com Davi,104404,""titulo igual no mesmo capitulo",32,31,,review,"título não encontrado na página ARA"
2SA,20,"Oficiais de Davi,104915,""titulo igual no mesmo capitulo",23,2,,review,"título não encontrado na página ARA"
2SA,21,"Gigantes mortos pelos homens de Davi,105151,""titulo igual no mesmo capitulo",15,1,,review,"título não encontrado na página ARA"
2SA,23,"Os valentes de Davi,105771,""titulo igual no mesmo capitulo",8,1,,review,"título não encontrado na página ARA"
2SA,24,"Davi escolhe o castigo,106207,""titulo igual no mesmo capitulo",10,1,,review,"título não encontrado na página ARA"
2SA,24,"Davi erige um altar na eira de Araúna,106362,""titulo igual no mesmo capitulo",18,1,,review,"título não encontrado na página ARA"
1KI,3,"Salomão pede a Deus sabedoria,107773,""titulo igual no mesmo capitulo",3,2,,review,"título não encontrado na página ARA"
1KI,4,"A sabedoria de Salomão,108415,""titulo igual no mesmo capitulo",9,29,,review,"título não encontrado na página ARA"
1KI,5,"Salomão faz aliança com Hirão,108508,""titulo igual no mesmo capitulo",15,2,,review,"título não encontrado na página ARA"
1KI,5,"Os preparativos para edificar o templo,108683,""titulo igual no mesmo capitulo",27,2,,review,"título não encontrado na página ARA"
1KI,6,"Salomão edifica o templo,108755,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,6,"Os dois querubins,109055,""titulo igual no mesmo capitulo",23,2,,review,"título não encontrado na página ARA"
1KI,7,"As duas colunas do templo,109419,""titulo igual no mesmo capitulo",15,2,,review,"título não encontrado na página ARA"
1KI,7,"O mar de fundição,109507,""titulo igual no mesmo capitulo",23,2,,review,"título não encontrado na página ARA"
1KI,7,"Outros utensílios para o templo,109584,""titulo igual no mesmo capitulo",27,2,,review,"título não encontrado na página ARA"
1KI,7,"As dádivas de Davi colocadas no templo,109908,""titulo igual no mesmo capitulo",51,2,,review,"título não encontrado na página ARA"
1KI,8,"Salomão traz para o templo a arca,109940,""titulo igual no mesmo capitulo",1,2,,review,"título não encontrado na página ARA"
1KI,8,"Salomão fala ao povo,110103,""titulo igual no mesmo capitulo",12,2,,review,"título não encontrado na página ARA"
1KI,8,"Salomão ora a Deus,110213,""titulo igual no mesmo capitulo",22,2,,review,"título não encontrado na página ARA"
1KI,8,"A conclusão da solenidade,110797,""titulo igual no mesmo capitulo",62,2,,review,"título não encontrado na página ARA"
