livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
1CH	1	1	127336	Descendentes de Adão	Gênesis 5.1-32
1CH	1	5	127358	Descendentes dos filhos de Noé	Gênesis 10.1-32
1CH	1	24	127505	Descendentes de Sem	Gênesis 11.10-32
1CH	1	28	127527	Descendentes de Ismael	Gênesis 25.12-18
1CH	1	32	127553	Descendentes de Abraão e Quetura	Gênesis 25.1-4
1CH	1	35	127585	Descendentes de Esaú	Gênesis 36.1-19
1CH	1	38	127609	Descendentes de Seir	Gênesis 36.20-30
1CH	1	43	127676	Reis e príncipes de Edom	Gênesis 36.31-43
1CH	2	1	127772	Descendentes de Jacó	Gênesis 35.23-26
1CH	2	3	127788	Descendentes de Judá	
1CH	3	2	128233	Filhos de Davi	
1CH	3	10	128324	Descendentes de Salomão	
1CH	4	1	128475	Descendentes de Judá	
1CH	4	24	128692	Descendentes de Simeão	
1CH	5	1	128875	Descendentes de Rúben	
1CH	5	11	129012	Descendentes de Gade	
1CH	6	1	129201	Descendentes de Levi	
1CH	6	31	129445	Cantores levitas	
1CH	6	49	129594	Descendentes de Arão	
1CH	6	54	129636	As cidades dos levitas	Josué 21.1-42
1CH	7	1	129968	Descendentes de Issacar	
1CH	7	6	130014	Descendentes de Benjamim	
1CH	7	14	130119	Descendentes de Manassés	
1CH	7	20	130167	Descendentes de Efraim	
1CH	7	30	130286	Descendentes de Aser	
1CH	8	1	130354	Descendentes de Benjamim	
1CH	10	1	131141	A derrota de Israel e a morte de Saul	
1CH	10	1	131240	A sepultura de Saul	
1CH	11	2	131320	Davi é ungido rei	
1CH	11	2	131354	Davi conquista a Sião	
1CH	11	2	131451	Os valentes de Davi	
1CH	12	1	131805	O exército de Davi	
1CH	12	23	132034	O exército que proclamou a Davi rei em Hebrom	
1CH	13	1	132276	Davi dispõe-se a trazer a arca para Jerusalém	
1CH	13	2	132316	Davi procura trazer a arca	
1CH	14	2	132449	O reinado de Davi reconhecido por Hirão	
1CH	14	2	132503	Davi derrota os filisteus	
1CH	15	1	132648	Os levitas designados para levarem a arca	
1CH	15	25	132938	A arca é levada para Jerusalém	
1CH	15	2	132994	Mical despreza a Davi	
1CH	16	1	133014	Oferta de sacrifícios	
1CH	16	7	133070	Salmo de Davi em ações de graças	
1CH	16	7	133072	Salmos 96;  105;  106	
1CH	16	37	133330	Outros dispositivos para o culto	
1CH	17	2	133449	A aliança do Senhor com Davi	
1CH	17	2	133624	Ações de graças de Davi	
1CH	18	2	133789	Diversas vitórias de Davi	
1CH	18	2	133950	Oficiais de Davi	
1CH	19	2	133986	Davi derrota os amonitas e os siros	
1CH	20	2	134262	Davi conquista a Rabá	
1CH	20	2	134300	Gigantes mortos pelos homens de Davi	
1CH	21	2	134350	O levantamento do censo	
1CH	21	2	134449	Davi escolhe o castigo	
1CH	21	28	134716	O lugar do templo	
1CH	22	6	134845	Ordens de Davi a Salomão	
1CH	23	1	135058	Os turnos e funções dos levitas	
1CH	24	1	135439	Os turnos dos sacerdotes	
1CH	25	1	135730	Função dos cantores	
1CH	26	1	136046	Os porteiros	
1CH	26	20	136262	Os guardas dos tesouros	
1CH	26	29	136340	Os oficiais e os juízes	
1CH	27	1	136423	Os turnos de serviço para cada mês	
1CH	27	16	136592	Os chefes das tribos	
1CH	27	25	136658	Os administradores das possessões de Davi	
1CH	27	32	136755	Os conselheiros do rei	
1CH	28	1	136785	Davi apresenta a Salomão como seu sucessor	
1CH	29	1	137101	As ofertas de Davi e dos príncipes	
1CH	29	10	137256	Oração de Davi	
1CH	29	23	137449	Salomão proclamado rei	
1CH	29	26	137489	A morte de Davi	
1CO	1	1	338858	Prefácio e saudação	
1CO	1	4	338884	Ação de graças	
1CO	1	10	338936	Exortação à unidade	
1CO	1	18	339047	A mensagem da cruz	
1CO	1	26	339123	A vocação dos santos	
1CO	1	30	339202	Valores de Cristo	
1CO	2	1	339224	O caráter da pregação de Paulo	
1CO	2	6	339262	A verdadeira sabedoria. O ensino do Espírito Santo	
1CO	3	1	339409	As dissensões demonstram a falta de espiritualidade	
1CO	3	18	339594	A sabedoria humana sem valor	
1CO	4	1	339646	Os pregadores responsáveis a Deus	
1CO	4	6	339727	Uma reprovação severa	
1CO	4	14	339833	Paulo os admoesta como pai	
1CO	6	12	340232	A sensualidade é condenada	
1CO	7	1	340345	Respostas a perguntas acerca do casamento	
1CO	7	10	340419	A estabilidade da família	
1CO	8	1	340771	Acerca das coisas sacrificadas aos ídolos	
1CO	9	1	340922	A liberdade e os direitos do apóstolo Paulo	
1CO	10	1	341226	Exemplos da história de Israel	
1CO	10	14	341363	O cristão deve fugir da idolatria	
1CO	10	23	341468	Os limites da liberdade cristã	
1CO	11	2	341550	O véu e seu uso na igreja de Corinto	
1CO	12	1	341874	Acerca de dons espirituais	
1CO	12	12	341997	A unidade orgânica da igreja	
1CO	14	1	342373	O dom de profecia é superior ao de línguas	
1CO	14	26	342689	A necessidade de ordem no culto	
1CO	15	35	343204	Os ressuscitados terão corpo	
1CO	15	50	343359	Os vivos serão transformados	
1CO	16	5	343512	Os projetos de Paulo	
1CO	16	10	343546	Acerca de Timóteo e Apolo	
1CO	16	13	343609	As exortações finais	
1CO	16	15	343623	Estéfanas, Fortunato e Acaico	
