code,chapter,jsonVerse,txtVerse,title,txtLine,reason
GEN,11,10,1,Descendentes de Sem,3291,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,25,12,1,Descendentes de Ismael,7682,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,31,22,24,Labão segue no encalço de Jacó,10237,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,32,4,3,Jacó reconcilia-se com Esaú,10645,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,35,23,1,Descendentes de Jacó,11875,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,36,20,1,Descendentes de Seir,12136,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,36,31,1,Reis e príncipes de Edom,12253,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
GEN,50,22,23,A morte de José,17569,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,8,26,1,Segunda praga: rãs,19730,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,8,12,16,Terceira praga: piolhos,19897,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,8,16,20,Quarta praga: moscas,19964,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,22,37,1,Leis acerca da propriedade,24578,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,22,15,16,Leis civis e religiosas,24789,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
EXO,28,3,2,As vestes sacerdotais,26767,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LEV,6,20,1,O sacrifício pelos pecados voluntários,33603,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LEV,6,1,8,A lei do holocausto,33679,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
LEV,6,7,14,A lei da oferta de manjares,33766,"titulo igual no mesmo capitulo, mas versiculo diferente no TXT extraido"
