code,chapter,fromVerse,toVerse,title,reason
PSA,3,2,1,"Confiança em Deus, na adversidade",Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,4,2,1,"Confiança em Deus, na angústia",Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,5,2,1,Proteção contra os ímpios,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,6,2,1,Davi recorre à misericórdia de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,7,2,1,Deus defende o justo contra o ímpio,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,8,2,1,A glória divina e a dignidade do filho do homem,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,9,2,1,Ações de graças,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,12,2,1,Auxílio contra a falsidade,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,13,2,1,Oração de fé,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,18,2,1,Vitória e domínio,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,19,2,1,A excelência da criação e da palavra de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,20,2,1,Oração a favor do rei,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,21,2,1,Ações de graças pela vitória,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,22,2,1,Sofrimento e vitória do Messias,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,30,2,1,Ações de graças pela libertação da morte,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,31,2,1,Lamentos e louvor,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,34,2,1,Provai que o Senhor é bom!,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,36,2,1,Malícia humana e benignidade divina,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,38,2,1,Arrependimento do pecador,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,39,2,1,A vaidade da vida,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,40,2,1,Oração para livramento,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,41,2,1,A calúnia dos inimigos e o socorro de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,42,2,1,A alma anela por Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,44,2,1,Apelo por auxílio divino,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,45,2,1,O Ungido de Deus e a sua noiva,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,46,2,1,Deus é o nosso refúgio e fortaleza,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,47,2,1,"Deus, o Rei da terra",Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,48,2,1,A cidade de Deus,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,49,2,1,A vaidade do homem,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,51,3,1,Confissão e arrependimento,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,52,3,1,Condenação do ímpio,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,53,2,1,A corrupção do pecador e sua redenção,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,54,3,1,Apelo para o socorro divino,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
PSA,55,2,1,Que os traidores sejam destruídos,Salmo com uma unica pericope; a Biblia local nao possui sobrescrito como versiculo separado
